case_number,date_filed,time_filed,crime_type_code,description,case_status,district_name,police_station,location_name,location_lat,location_lng,investigating_officer,year_filed,month_filed,hour_of_crime
KAR/BAL/2024/0617,2024-11-21,04:53:00,vehicle_theft,"Reported incident of vehicle theft at Near Banik Path, Ballari. Suspect vehicle noticed with plate KA-18-KA-8854.",open,Ballari,Ballari Town PS,"Near Banik Path, Ballari",15.1463,77.0218,Insp. Gayathri Rau,2024,11,4
KAR/BEL/2024/0618,2024-01-11,09:44:00,cybercrime,"Reported incident of cybercrime at Near Gour Circle, Belagavi.",open,Belagavi,Belagavi Industrial PS,"Near Gour Circle, Belagavi",15.8073,74.56,Insp. Girindra Saha,2024,1,9
KAR/CHI/2024/0619,2024-02-26,13:06:00,assault,"Reported incident of assault at Near Keer Ganj, Chikkamagaluru.",chargesheeted,Chikkamagaluru,Chikkamagaluru Industrial PS,"Near Keer Ganj, Chikkamagaluru",13.3237,75.814,Insp. Mohammed Sunder,2024,2,13
KAR/VIJ/2024/0620,2024-04-27,06:12:00,fraud,"Reported incident of fraud at Near Magar Marg, Vijayapura.",open,Vijayapura,Vijayapura Rural PS,"Near Magar Marg, Vijayapura",16.8491,75.6615,Insp. Wakeeta Chadha,2024,4,6
KAR/VIJ/2024/0621,2024-10-15,02:58:00,assault,"Reported incident of assault at Near Nayar Marg, Vijayapura.",open,Vijayapura,Vijayapura Rural PS,"Near Nayar Marg, Vijayapura",16.8409,75.6626,Insp. Ayush Purohit,2024,10,2
KAR/BEN/2024/0622,2025-04-13,15:06:00,burglary,"Reported incident of burglary at Near Basak Circle, Bengaluru Urban.",under_investigation,Bengaluru Urban,Bengaluru Urban East PS,"Near Basak Circle, Bengaluru Urban",13.0606,77.6014,Insp. Arunima Choudhry,2025,4,15
KAR/MYS/2024/0623,2025-02-07,08:39:00,vehicle_theft,"Reported incident of vehicle theft at Near Sampath Path, Mysuru. Suspect vehicle noticed with plate KA-27-A-7647.",chargesheeted,Mysuru,Mysuru North PS,"Near Sampath Path, Mysuru",12.2498,76.5751,Insp. Samuel Koshy,2025,2,8
KAR/BEN/2024/0624,2024-06-23,13:41:00,burglary,"Reported incident of burglary at Near Golla Chowk, Bengaluru Rural.",open,Bengaluru Rural,Bengaluru Rural Traffic PS,"Near Golla Chowk, Bengaluru Rural",13.3193,77.5036,Insp. Ganga Konda,2024,6,13
KAR/BEN/2024/0625,2025-01-12,04:48:00,burglary,"Reported incident of burglary at Near Misra Street, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban Central PS,"Near Misra Street, Bengaluru Urban",12.9368,77.5606,Insp. Diya Bains,2025,1,4
KAR/VIJ/2024/0626,2024-12-01,23:18:00,vehicle_theft,"Reported incident of vehicle theft at Near Uppal Street, Vijayapura. Suspect vehicle noticed with plate KA-01-M-4532.",open,Vijayapura,Vijayapura Rural PS,"Near Uppal Street, Vijayapura",16.8497,75.6524,Insp. Dakshesh Swaminathan,2024,12,23
KAR/BID/2024/0627,2025-01-07,03:22:00,chain_snatching,"Reported incident of chain snatching at Near Buch Circle, Bidar. Suspect vehicle noticed with plate KA-28-A-8581.",closed,Bidar,Bidar Rural PS,"Near Buch Circle, Bidar",17.9341,77.4571,Insp. Chavvi Issac,2025,1,3
KAR/BEN/2024/0628,2024-10-13,01:20:00,robbery,"Reported incident of robbery at Near Ramakrishnan Chowk, Bengaluru Urban. Suspect vehicle noticed with plate KA-33-B-4878.",under_investigation,Bengaluru Urban,Bengaluru Urban Central PS,"Near Ramakrishnan Chowk, Bengaluru Urban",12.9406,77.5874,Insp. Rachita Krishnamurthy,2024,10,1
KAR/KOP/2024/0629,2024-09-02,03:43:00,fraud,"Reported incident of fraud at Near Sahota Road, Koppal.",under_investigation,Koppal,Koppal Suburban PS,"Near Sahota Road, Koppal",15.4146,76.2405,Insp. Max Mohan,2024,9,3
KAR/SHI/2024/0630,2024-03-23,13:44:00,cybercrime,"Reported incident of cybercrime at Near Chacko Street, Shivamogga.",under_investigation,Shivamogga,Shivamogga Town PS,"Near Chacko Street, Shivamogga",13.9833,75.632,Insp. Chaaya Ravi,2024,3,13
KAR/TUM/2024/0631,2025-04-15,14:13:00,burglary,"Reported incident of burglary at Near Wadhwa Nagar, Tumakuru.",open,Tumakuru,Tumakuru Town PS,"Near Wadhwa Nagar, Tumakuru",13.2964,77.1291,Insp. Forum Pant,2025,4,14
KAR/BAL/2024/0632,2024-10-21,23:12:00,robbery,"Reported incident of robbery at Near Bhatti Path, Ballari. Suspect vehicle noticed with plate KA-35-KA-8340.",under_investigation,Ballari,Ballari Market PS,"Near Bhatti Path, Ballari",15.1614,76.913,Insp. Pavani Kunda,2024,10,23
KAR/KOP/2024/0633,2024-09-02,07:16:00,murder,"Reported incident of murder at Near Hegde Street, Koppal.",open,Koppal,Koppal Market PS,"Near Hegde Street, Koppal",15.3838,76.2366,Insp. Lila Venkatesh,2024,9,7
KAR/BEN/2024/0634,2024-08-02,18:02:00,vehicle_theft,"Reported incident of vehicle theft at Near Patel Street, Bengaluru Urban. Suspect vehicle noticed with plate KA-55-M-6303.",chargesheeted,Bengaluru Urban,Bengaluru Urban East PS,"Near Patel Street, Bengaluru Urban",13.0702,77.6125,Insp. Ranbir Bajwa,2024,8,18
KAR/BEN/2024/0635,2024-10-22,14:04:00,vehicle_theft,"Reported incident of vehicle theft at Near Parmer Road, Bengaluru Rural. Suspect vehicle noticed with plate KA-06-B-5567.",under_investigation,Bengaluru Rural,Bengaluru Rural Central PS,"Near Parmer Road, Bengaluru Rural",13.1927,77.5297,Insp. Harrison Singhal,2024,10,14
KAR/BEN/2024/0636,2024-02-06,05:53:00,cybercrime,"Reported incident of cybercrime at Near Gopal Marg, Bengaluru Urban.",under_investigation,Bengaluru Urban,Bengaluru Urban East PS,"Near Gopal Marg, Bengaluru Urban",13.0545,77.6082,Insp. Nathan Banik,2024,2,5
KAR/MAN/2024/0637,2025-01-22,22:33:00,murder,"Reported incident of murder at Near Pant Ganj, Mandya.",closed,Mandya,Mandya Town PS,"Near Pant Ganj, Mandya",12.5205,76.8788,Insp. Bhavani Ray,2025,1,22
KAR/BID/2024/0638,2024-02-25,05:48:00,chain_snatching,"Reported incident of chain snatching at Near Loyal Path, Bidar. Suspect vehicle noticed with plate KA-05-KA-5572.",under_investigation,Bidar,Bidar Suburban PS,"Near Loyal Path, Bidar",17.9405,77.5551,Insp. Pranav Garg,2024,2,5
KAR/HUB/2024/0639,2024-02-07,18:59:00,domestic_violence,"Reported incident of domestic violence at Near Dua Marg, Hubballi-Dharwad.",under_investigation,Hubballi-Dharwad,Hubballi-Dharwad Traffic PS,"Near Dua Marg, Hubballi-Dharwad",15.4139,75.0349,Insp. Hemangini Dada,2024,2,18
KAR/DAV/2024/0640,2024-04-05,12:09:00,kidnapping,"Reported incident of kidnapping at Near Batra Road, Davangere.",open,Davangere,Davangere Town PS,"Near Batra Road, Davangere",14.4186,75.9071,Insp. Sanya Wali,2024,4,12
KAR/BEN/2024/0641,2024-06-23,14:12:00,assault,"Reported incident of assault at Near D’Alia Circle, Bengaluru Urban.",under_investigation,Bengaluru Urban,Bengaluru Urban West PS,"Near D’Alia Circle, Bengaluru Urban",12.884,77.5355,Insp. Samar Sura,2024,6,14
KAR/BID/2024/0642,2024-06-20,07:05:00,cybercrime,"Reported incident of cybercrime at Near Bedi Road, Bidar.",under_investigation,Bidar,Bidar Traffic PS,"Near Bedi Road, Bidar",17.8882,77.4603,Insp. Aadhya Choudhary,2024,6,7
KAR/HAS/2024/0643,2025-01-01,04:34:00,property_crime,"Reported incident of property crime at Near Soman Nagar, Hassan.",open,Hassan,Hassan Rural PS,"Near Soman Nagar, Hassan",13.0054,75.9988,Insp. Vinaya Chaudhuri,2025,1,4
KAR/TUM/2024/0644,2024-10-03,21:07:00,vehicle_theft,"Reported incident of vehicle theft at Near Patel Marg, Tumakuru. Suspect vehicle noticed with plate KA-52-KA-6628.",closed,Tumakuru,Tumakuru Suburban PS,"Near Patel Marg, Tumakuru",13.3303,77.1142,Insp. Fiyaz Rau,2024,10,21
KAR/RAI/2024/0645,2024-10-02,10:01:00,cybercrime,"Reported incident of cybercrime at Near Gill Nagar, Raichur.",chargesheeted,Raichur,Raichur Suburban PS,"Near Gill Nagar, Raichur",16.2751,77.3287,Insp. Advay Ranganathan,2024,10,10
KAR/BEN/2024/0646,2025-05-14,01:10:00,vehicle_theft,"Reported incident of vehicle theft at Near Behl Street, Bengaluru Rural. Suspect vehicle noticed with plate KA-16-P-6189.",open,Bengaluru Rural,Bengaluru Rural South PS,"Near Behl Street, Bengaluru Rural",13.1613,77.6026,Insp. Jack Savant,2025,5,1
KAR/VIJ/2024/0647,2024-12-11,12:32:00,chain_snatching,"Reported incident of chain snatching at Near Ramaswamy Nagar, Vijayapura. Suspect vehicle noticed with plate KA-23-KA-1733.",under_investigation,Vijayapura,Vijayapura Traffic PS,"Near Ramaswamy Nagar, Vijayapura",16.8958,75.6909,Insp. Yutika Rana,2024,12,12
KAR/BEN/2024/0648,2025-02-11,14:10:00,drug_offence,"Reported incident of drug offence at Near Din Circle, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban North PS,"Near Din Circle, Bengaluru Urban",12.951,77.5774,Insp. Vedant Walla,2025,2,14
KAR/TUM/2024/0649,2025-01-21,17:08:00,hit_and_run,"Reported incident of hit and run at Near Issac Nagar, Tumakuru.",open,Tumakuru,Tumakuru Suburban PS,"Near Issac Nagar, Tumakuru",13.3116,77.138,Insp. Hemangini Yohannan,2025,1,17
KAR/KOL/2024/0650,2025-01-25,22:24:00,chain_snatching,"Reported incident of chain snatching at Near Bahri Nagar, Kolar. Suspect vehicle noticed with plate KA-07-A-6632.",under_investigation,Kolar,Kolar Suburban PS,"Near Bahri Nagar, Kolar",13.1219,78.0821,Insp. Manan Kara,2025,1,22
KAR/SHI/2024/0651,2024-11-01,08:57:00,fraud,"Reported incident of fraud at Near Bera Chowk, Shivamogga.",chargesheeted,Shivamogga,Shivamogga Rural PS,"Near Bera Chowk, Shivamogga",13.8609,75.5186,Insp. Advaith Ranganathan,2024,11,8
KAR/CHI/2024/0652,2024-09-29,16:25:00,senior_citizen_crime,"Reported incident of senior citizen crime at Near Dara Street, Chikkamagaluru.",chargesheeted,Chikkamagaluru,Chikkamagaluru Industrial PS,"Near Dara Street, Chikkamagaluru",13.2794,75.8273,Insp. Gaurav Sawhney,2024,9,16
KAR/BEN/2024/0653,2024-09-18,00:02:00,chain_snatching,"Reported incident of chain snatching at Near Anand Zila, Bengaluru Urban. Suspect vehicle noticed with plate KA-40-KB-2199.",open,Bengaluru Urban,Bengaluru Urban West PS,"Near Anand Zila, Bengaluru Urban",12.8895,77.5592,Insp. Jason Sant,2024,9,0
KAR/CHI/2024/0654,2024-04-07,04:38:00,vehicle_theft,"Reported incident of vehicle theft at Near Gara Circle, Chikkamagaluru. Suspect vehicle noticed with plate KA-37-N-7805.",open,Chikkamagaluru,Chikkamagaluru Market PS,"Near Gara Circle, Chikkamagaluru",13.3866,75.7116,Insp. Rishi Khare,2024,4,4
KAR/RAI/2024/0655,2024-04-21,00:17:00,kidnapping,"Reported incident of kidnapping at Near Chawla Chowk, Raichur.",chargesheeted,Raichur,Raichur Industrial PS,"Near Chawla Chowk, Raichur",16.1962,77.4453,Insp. Libni Setty,2024,4,0
KAR/BAL/2024/0656,2024-11-28,22:25:00,fraud,"Reported incident of fraud at Near Parikh Road, Ballari.",open,Ballari,Ballari Traffic PS,"Near Parikh Road, Ballari",15.1884,76.8822,Insp. Advaith Palan,2024,11,22
KAR/SHI/2024/0657,2024-08-18,23:06:00,burglary,"Reported incident of burglary at Near Majumdar Chowk, Shivamogga.",open,Shivamogga,Shivamogga Suburban PS,"Near Majumdar Chowk, Shivamogga",13.9387,75.6063,Insp. Samesh Bava,2024,8,23
KAR/BEN/2024/0658,2024-09-03,11:01:00,domestic_violence,"Reported incident of domestic violence at Near Sami Zila, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban South PS,"Near Sami Zila, Bengaluru Urban",12.9993,77.4982,Insp. Ansh Om,2024,9,11
KAR/BEN/2024/0659,2024-09-06,21:04:00,chain_snatching,"Reported incident of chain snatching at Near Kala Road, Bengaluru Urban. Suspect vehicle noticed with plate KA-27-KB-7199.",open,Bengaluru Urban,Bengaluru Urban East PS,"Near Kala Road, Bengaluru Urban",13.0704,77.6141,Insp. Jatin Tiwari,2024,9,21
KAR/BAL/2024/0660,2025-01-06,05:01:00,domestic_violence,"Reported incident of domestic violence at Near Basu Marg, Ballari.",chargesheeted,Ballari,Ballari Market PS,"Near Basu Marg, Ballari",15.1767,76.936,Insp. Varsha Sachar,2025,1,5
KAR/BEN/2024/0661,2024-11-20,17:21:00,chain_snatching,"Reported incident of chain snatching at Near Din Chowk, Bengaluru Urban. Suspect vehicle noticed with plate KA-24-M-6201.",open,Bengaluru Urban,Bengaluru Urban Central PS,"Near Din Chowk, Bengaluru Urban",12.9374,77.588,Insp. Faraj Bumb,2024,11,17
KAR/BID/2024/0662,2025-03-07,21:06:00,vehicle_theft,"Reported incident of vehicle theft at Near Raval Ganj, Bidar. Suspect vehicle noticed with plate KA-28-KB-4609.",open,Bidar,Bidar Rural PS,"Near Raval Ganj, Bidar",17.9513,77.4624,Insp. Yashica Kota,2025,3,21
KAR/BEN/2024/0663,2024-02-16,23:10:00,eve_teasing,"Reported incident of eve teasing at Near Kannan Zila, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban North PS,"Near Kannan Zila, Bengaluru Urban",12.9531,77.5675,Insp. Frederick Tailor,2024,2,23
KAR/BEN/2024/0664,2024-04-13,06:11:00,burglary,"Reported incident of burglary at Near Ravel, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban West PS,"Near Ravel, Bengaluru Urban",12.9254,77.5367,Insp. Dayita Venkataraman,2024,4,6
KAR/VIJ/2024/0665,2025-03-20,23:07:00,cybercrime,"Reported incident of cybercrime at Near Khare Chowk, Vijayapura.",open,Vijayapura,Vijayapura Suburban PS,"Near Khare Chowk, Vijayapura",16.7447,75.6311,Insp. Yutika Kulkarni,2025,3,23
KAR/BAL/2024/0666,2024-10-04,04:31:00,chain_snatching,"Reported incident of chain snatching at Near Wali Circle, Ballari. Suspect vehicle noticed with plate KA-01-KB-2401.",open,Ballari,Ballari Suburban PS,"Near Wali Circle, Ballari",15.2166,76.9239,Insp. Ishanvi Som,2024,10,4
KAR/BEN/2024/0667,2024-01-07,10:14:00,burglary,"Reported incident of burglary at Near Rao Marg, Bengaluru Rural.",open,Bengaluru Rural,Bengaluru Rural North PS,"Near Rao Marg, Bengaluru Rural",13.2288,77.5188,Insp. Riya Basak,2024,1,10
KAR/SHI/2024/0668,2025-05-01,10:45:00,robbery,"Reported incident of robbery at Near Viswanathan, Shivamogga. Suspect vehicle noticed with plate KA-44-P-9220.",open,Shivamogga,Shivamogga Rural PS,"Near Viswanathan, Shivamogga",13.8603,75.5223,Insp. Krishna Pathak,2025,5,10
KAR/CHI/2024/0669,2024-10-18,14:29:00,vehicle_theft,"Reported incident of vehicle theft at Near Kuruvilla Marg, Chikkamagaluru. Suspect vehicle noticed with plate KA-13-KB-6236.",open,Chikkamagaluru,Chikkamagaluru Market PS,"Near Kuruvilla Marg, Chikkamagaluru",13.3608,75.7029,Insp. Radha Brar,2024,10,14
KAR/CHI/2024/0670,2025-02-20,03:04:00,robbery,"Reported incident of robbery at Near Kaul, Chikkamagaluru. Suspect vehicle noticed with plate KA-52-P-6817.",under_investigation,Chikkamagaluru,Chikkamagaluru Market PS,"Near Kaul, Chikkamagaluru",13.3487,75.7274,Insp. Ria Chad,2025,2,3
KAR/BID/2024/0671,2024-02-14,20:02:00,vehicle_theft,"Reported incident of vehicle theft at Near Sarna Circle, Bidar. Suspect vehicle noticed with plate KA-42-M-8367.",closed,Bidar,Bidar Industrial PS,"Near Sarna Circle, Bidar",17.9184,77.5439,Insp. Devansh Rajan,2024,2,20
KAR/TUM/2024/0672,2024-12-01,22:12:00,vehicle_theft,"Reported incident of vehicle theft at Near Bahri Nagar, Tumakuru. Suspect vehicle noticed with plate KA-12-KB-7678.",under_investigation,Tumakuru,Tumakuru Town PS,"Near Bahri Nagar, Tumakuru",13.2822,77.1179,Insp. Zinal Mangal,2024,12,22
KAR/BEN/2024/0673,2025-04-17,16:36:00,cybercrime,"Reported incident of cybercrime at Near Balakrishnan Zila, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban South PS,"Near Balakrishnan Zila, Bengaluru Urban",13.0143,77.5108,Insp. Fitan Chowdhury,2025,4,16
KAR/BEN/2024/0674,2025-03-25,22:12:00,chain_snatching,"Reported incident of chain snatching at Near Dugar Ganj, Bengaluru Urban. Suspect vehicle noticed with plate KA-23-A-3319.",under_investigation,Bengaluru Urban,Bengaluru Urban Central PS,"Near Dugar Ganj, Bengaluru Urban",12.9121,77.5498,Insp. Jason Bal,2025,3,22
KAR/BEN/2024/0675,2024-11-17,01:22:00,vehicle_theft,"Reported incident of vehicle theft at Near Sethi Street, Bengaluru Urban. Suspect vehicle noticed with plate KA-28-B-9269.",under_investigation,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Sethi Street, Bengaluru Urban",12.9502,77.6284,Insp. Baljiwan Upadhyay,2024,11,1
KAR/VIJ/2024/0676,2024-07-30,21:21:00,chain_snatching,"Reported incident of chain snatching at Near Master Circle, Vijayapura. Suspect vehicle noticed with plate KA-19-KA-7838.",open,Vijayapura,Vijayapura Industrial PS,"Near Master Circle, Vijayapura",16.8316,75.766,Insp. Kamala Goel,2024,7,21
KAR/BEN/2024/0677,2024-11-01,19:21:00,kidnapping,"Reported incident of kidnapping at Near Sangha Circle, Bengaluru Rural.",under_investigation,Bengaluru Rural,Bengaluru Rural Traffic PS,"Near Sangha Circle, Bengaluru Rural",13.2919,77.4926,Insp. Anya Sen,2024,11,19
KAR/BEN/2024/0678,2024-06-26,18:42:00,chain_snatching,"Reported incident of chain snatching at Near Rajagopalan Street, Bengaluru Urban. Suspect vehicle noticed with plate KA-47-KA-9938.",chargesheeted,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Rajagopalan Street, Bengaluru Urban",12.9456,77.6372,Insp. Luke Prashad,2024,6,18
KAR/BEN/2024/0679,2025-04-22,01:32:00,property_crime,"Reported incident of property crime at Near Mann Ganj, Bengaluru Urban.",under_investigation,Bengaluru Urban,Bengaluru Urban North PS,"Near Mann Ganj, Bengaluru Urban",12.9759,77.5992,Insp. Forum Jhaveri,2025,4,1
KAR/BEN/2024/0680,2024-11-13,01:56:00,vehicle_theft,"Reported incident of vehicle theft at Near Narayan Circle, Bengaluru Urban. Suspect vehicle noticed with plate KA-04-P-4455.",under_investigation,Bengaluru Urban,Bengaluru Urban South PS,"Near Narayan Circle, Bengaluru Urban",12.9906,77.492,Insp. Anjali Dhar,2024,11,1
KAR/MYS/2024/0681,2024-11-13,11:07:00,vehicle_theft,"Reported incident of vehicle theft at Near Ghosh Ganj, Mysuru. Suspect vehicle noticed with plate KA-39-KB-9489.",open,Mysuru,Mysuru North PS,"Near Ghosh Ganj, Mysuru",12.2508,76.5778,Insp. Qasim Deol,2024,11,11
KAR/HUB/2024/0682,2024-04-09,17:05:00,eve_teasing,"Reported incident of eve teasing at Near Morar Marg, Hubballi-Dharwad.",open,Hubballi-Dharwad,Hubballi-Dharwad Town PS,"Near Morar Marg, Hubballi-Dharwad",15.3992,75.149,Insp. Vasatika Date,2024,4,17
KAR/BEN/2024/0683,2024-10-17,03:16:00,robbery,"Reported incident of robbery at Near Dube Road, Bengaluru Urban. Suspect vehicle noticed with plate KA-28-B-9871.",open,Bengaluru Urban,Bengaluru Urban South PS,"Near Dube Road, Bengaluru Urban",12.9988,77.5354,Insp. Samar Chander,2024,10,3
KAR/BEN/2024/0684,2024-06-19,15:34:00,drug_offence,"Reported incident of drug offence at Near Sunder Chowk, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Sunder Chowk, Bengaluru Urban",12.9852,77.6806,Insp. Anay Wadhwa,2024,6,15
KAR/BEL/2024/0685,2024-04-23,07:36:00,vehicle_theft,"Reported incident of vehicle theft at Near Anne Zila, Belagavi. Suspect vehicle noticed with plate KA-37-KA-9513.",open,Belagavi,Belagavi Industrial PS,"Near Anne Zila, Belagavi",15.8363,74.534,Insp. Harish Sanghvi,2024,4,7
KAR/VIJ/2024/0686,2024-04-01,13:37:00,drug_offence,"Reported incident of drug offence at Near Chhabra Circle, Vijayapura.",open,Vijayapura,Vijayapura Industrial PS,"Near Chhabra Circle, Vijayapura",16.8244,75.7494,Insp. Brinda Dyal,2024,4,13
KAR/BEN/2024/0687,2025-03-22,21:59:00,domestic_violence,"Reported incident of domestic violence at Near Warrior Nagar, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban West PS,"Near Warrior Nagar, Bengaluru Urban",12.9246,77.5321,Insp. Aarush Sarna,2025,3,21
KAR/HAS/2024/0688,2024-03-25,12:36:00,chain_snatching,"Reported incident of chain snatching at Near Nayar Road, Hassan. Suspect vehicle noticed with plate KA-32-KB-5257.",open,Hassan,Hassan Town PS,"Near Nayar Road, Hassan",13.0024,76.0083,Insp. Veda Savant,2024,3,12
KAR/BEN/2024/0689,2024-10-18,11:03:00,chain_snatching,"Reported incident of chain snatching at Near Mannan Circle, Bengaluru Urban. Suspect vehicle noticed with plate KA-42-B-2619.",under_investigation,Bengaluru Urban,Bengaluru Urban East PS,"Near Mannan Circle, Bengaluru Urban",13.0463,77.612,Insp. Nilima Goel,2024,10,11
KAR/BEN/2024/0690,2024-04-04,12:07:00,hit_and_run,"Reported incident of hit and run at Near Sethi Chowk, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban North PS,"Near Sethi Chowk, Bengaluru Urban",12.9624,77.6068,Insp. Hredhaan Kant,2024,4,12
KAR/KAL/2024/0691,2024-06-21,19:10:00,vehicle_theft,"Reported incident of vehicle theft at Near Shan, Kalaburagi. Suspect vehicle noticed with plate KA-15-N-9253.",open,Kalaburagi,Kalaburagi Suburban PS,"Near Shan, Kalaburagi",17.2773,76.872,Insp. Advay Rajan,2024,6,19
KAR/RAI/2024/0692,2024-10-11,12:01:00,property_crime,"Reported incident of property crime at Near Vaidya Zila, Raichur.",closed,Raichur,Raichur Market PS,"Near Vaidya Zila, Raichur",16.1688,77.3273,Insp. Veer Prakash,2024,10,12
KAR/TUM/2024/0693,2024-12-08,20:20:00,vehicle_theft,"Reported incident of vehicle theft at Near Wason Marg, Tumakuru. Suspect vehicle noticed with plate KA-19-A-3827.",under_investigation,Tumakuru,Tumakuru Industrial PS,"Near Wason Marg, Tumakuru",13.3295,77.0971,Insp. Sanaya Rattan,2024,12,20
KAR/RAI/2024/0694,2024-11-08,16:16:00,assault,"Reported incident of assault at Near Gulati Marg, Raichur.",under_investigation,Raichur,Raichur Market PS,"Near Gulati Marg, Raichur",16.1925,77.3128,Insp. Neelima Purohit,2024,11,16
KAR/BEN/2024/0695,2024-12-08,17:40:00,chain_snatching,"Reported incident of chain snatching at Near Goel Chowk, Bengaluru Urban. Suspect vehicle noticed with plate KA-40-M-5576.",closed,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Goel Chowk, Bengaluru Urban",12.9931,77.6483,Insp. Ishanvi Kapoor,2024,12,17
KAR/BID/2024/0696,2024-08-03,18:37:00,cybercrime,"Reported incident of cybercrime at Near Sur Ganj, Bidar.",open,Bidar,Bidar Town PS,"Near Sur Ganj, Bidar",17.976,77.5684,Insp. Eta Dara,2024,8,18
KAR/BEN/2024/0697,2024-01-15,14:14:00,eve_teasing,"Reported incident of eve teasing at Near Bobal Chowk, Bengaluru Urban.",chargesheeted,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Bobal Chowk, Bengaluru Urban",12.9711,77.6706,Insp. Hema Choudhry,2024,1,14
KAR/BEN/2024/0698,2024-01-27,11:10:00,fraud,"Reported incident of fraud at Near Sundaram, Bengaluru Urban.",under_investigation,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Sundaram, Bengaluru Urban",12.9511,77.6807,Insp. Ekaja Ganguly,2024,1,11
KAR/BEN/2024/0699,2025-02-19,15:52:00,vehicle_theft,"Reported incident of vehicle theft at Near Gill Marg, Bengaluru Urban. Suspect vehicle noticed with plate KA-40-P-8663.",under_investigation,Bengaluru Urban,Bengaluru Urban West PS,"Near Gill Marg, Bengaluru Urban",12.9239,77.5662,Insp. Tripti Tandon,2025,2,15
KAR/KAL/2024/0700,2024-05-16,23:52:00,domestic_violence,"Reported incident of domestic violence at Near Gour Chowk, Kalaburagi.",under_investigation,Kalaburagi,Kalaburagi Rural PS,"Near Gour Chowk, Kalaburagi",17.242,76.7569,Insp. Krishna Kade,2024,5,23
KAR/BEN/2024/0701,2024-01-25,12:47:00,murder,"Reported incident of murder at Near Vora, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Vora, Bengaluru Urban",12.9461,77.6288,Insp. Unnati Wadhwa,2024,1,12
KAR/TUM/2024/0702,2025-03-06,15:35:00,assault,"Reported incident of assault at Near Brahmbhatt Nagar, Tumakuru.",open,Tumakuru,Tumakuru Traffic PS,"Near Brahmbhatt Nagar, Tumakuru",13.3739,77.0598,Insp. Urishilla Handa,2025,3,15
KAR/HAS/2024/0703,2024-12-11,13:42:00,robbery,"Reported incident of robbery at Near Rama Street, Hassan. Suspect vehicle noticed with plate KA-03-P-8441.",closed,Hassan,Hassan Industrial PS,"Near Rama Street, Hassan",13.0075,76.0542,Insp. Janya Joshi,2024,12,13
KAR/KOL/2024/0704,2024-01-13,00:31:00,robbery,"Reported incident of robbery at Near Brahmbhatt Road, Kolar. Suspect vehicle noticed with plate KA-08-P-6719.",under_investigation,Kolar,Kolar Rural PS,"Near Brahmbhatt Road, Kolar",13.1607,78.0974,Insp. Daksh Deo,2024,1,0
KAR/BEN/2024/0705,2024-08-18,23:35:00,hit_and_run,"Reported incident of hit and run at Near Konda, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban Central PS,"Near Konda, Bengaluru Urban",12.9437,77.5635,Insp. Fariq Srinivas,2024,8,23
KAR/BEN/2024/0706,2024-11-07,23:07:00,fraud,"Reported incident of fraud at Near Nair Chowk, Bengaluru Urban.",under_investigation,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Nair Chowk, Bengaluru Urban",12.9736,77.6821,Insp. Avi Parikh,2024,11,23
KAR/BAL/2024/0707,2024-06-01,22:23:00,assault,"Reported incident of assault at Near Varghese Road, Ballari.",open,Ballari,Ballari Suburban PS,"Near Varghese Road, Ballari",15.2218,76.9514,Insp. Hredhaan Dubey,2024,6,22
KAR/BID/2024/0708,2025-04-28,21:25:00,robbery,"Reported incident of robbery at Near Hayre, Bidar. Suspect vehicle noticed with plate KA-06-KB-5201.",under_investigation,Bidar,Bidar Traffic PS,"Near Hayre, Bidar",17.858,77.4485,Insp. Urishilla Samra,2025,4,21
KAR/HUB/2024/0709,2024-03-15,20:28:00,chain_snatching,"Reported incident of chain snatching at Near Raval, Hubballi-Dharwad. Suspect vehicle noticed with plate KA-50-M-3930.",under_investigation,Hubballi-Dharwad,Hubballi-Dharwad Suburban PS,"Near Raval, Hubballi-Dharwad",15.4016,75.1332,Insp. Nihal Bail,2024,3,20
KAR/UDU/2024/0710,2024-03-31,09:18:00,assault,"Reported incident of assault at Near Loke Nagar, Udupi.",chargesheeted,Udupi,Udupi Town PS,"Near Loke Nagar, Udupi",13.3763,74.7242,Insp. Garima Lala,2024,3,9
